CODIGO_BECA;AGNO_FALLO;TIPO_INSTRUMENTO;PALABRAS_CLAVE
81180415;2018;ASISTENCIA A EVENTOS;"FISIOLOGIA HUMANA  ; FISIOLOGIA DEL SISTEMA NERVIOSO CENTRAL"
81180419;2018;ASISTENCIA A EVENTOS;"BIOLOGIA CELULAR ; CULTIVO CELULAR ; BIOLOGIA CELULAR ; MORFOLOGIA CELULAR ; BIOLOGIA MOLECULAR  ; EXPRESION GENETICA"
81180420;2018;ASISTENCIA A EVENTOS;"BIOLOGIA MOLECULAR  ; BIOLOGIA MOLECULAR DE MICROORGANISMOS ; BIOLOGIA MOLECULAR  ; EXPRESION GENETICA ; VIROLOGIA  ; VIROLOGIA ANIMAL"
81180421;2018;ASISTENCIA A EVENTOS;"CIENCIAS DEL SUELO (EDAFOLOGIA)  ; CLASIFICACION DE SUELOS ; CIENCIAS DEL SUELO (EDAFOLOGIA)  ; FISICA DE SUELOS ; CIENCIAS AMBIENTALES ; CONTROL Y TRATAMIENTO DE SUELOS CONTAMINADOS"
81180422;2018;ASISTENCIA A EVENTOS;"FISIOLOGIA HUMANA  ; FISIOLOGIA CARDIOVASCULAR ; FISIOLOGIA HUMANA  ; FISIOLOGIA ENDOTELIAL ; FISIOLOGIA HUMANA  ; FISIOLOGIA FETAL"
81180423;2018;ASISTENCIA A EVENTOS;"METODOLOGIAS DE COMPUTACION ; INTELIGENCIA ARTIFICIAL ; METODOLOGIAS DE COMPUTACION ; INTELIGENCIA ARTIFICIAL ; APRENDIZAJE ; METODOLOGIAS DE COMPUTACION ; INTELIGENCIA ARTIFICIAL ; RESOLUCION DE PROBLEMAS, METODOS DE BUSQUEDA Y CONTROL"
81180424;2018;ASISTENCIA A EVENTOS;"BIOQUIMICA  ; BIOQUIMICA  ; BIOLOGIA CELULAR ; CULTIVO CELULAR ; NEUROCIENCIAS ; NEUROFISIOLOGIA"
81180427;2018;ASISTENCIA A EVENTOS;"INGENIERIA Y TECNOLOGIA ELECTRICAS ; UTILIZACION DE LA CORRIENTE CONTINUA ; INGENIERIA Y TECNOLOGIA ELECTRICAS ; APLICACIONES ELECTRICAS ; INGENIERIA Y TECNOLOGIA ELECTRICAS ; TRANSMISION Y DISTRIBUCION"
81180428;2018;ASISTENCIA A EVENTOS;"BIOLOGIA CELULAR ; CULTIVO CELULAR ; BIOLOGIA CELULAR ; MORFOLOGIA CELULAR ; BIOLOGIA MOLECULAR  ; EXPRESION GENETICA"
81180434;2018;ASISTENCIA A EVENTOS;"BIOLOGIA MOLECULAR  ; EXPRESION GENETICA ; VIROLOGIA  ; VIROLOGIA ANIMAL"
81180438;2018;ASISTENCIA A EVENTOS;"HIDROLOGIA  ; HUMEDAD DEL SUELO ; CIENCIAS DEL SUELO (EDAFOLOGIA)  ; CONSERVACION DE SUELOS ; CIENCIAS DEL SUELO (EDAFOLOGIA)  ; FISICA DE SUELOS"
81180441;2018;ASISTENCIA A EVENTOS;"QUIMICA ANALITICA ; ESPECTROSCOPIA DE MASAS"
81180445;2018;ASISTENCIA A EVENTOS;"TECNOLOGIA E INGENIERIA MECANICAS ; TECNOLOGIA ENERGETICA  ; GENERACION DE ENERGIA ; TECNOLOGIA ENERGETICA  ; FUENTES NO CONVENCIONALES DE ENERGIA "
81180451;2018;ASISTENCIA A EVENTOS;"PATOLOGIA ; PARASITOLOGIA"
81180454;2018;ASISTENCIA A EVENTOS;"ECONOMETRIA ; INPUT;OUTPUT"
81180459;2018;ASISTENCIA A EVENTOS;"PLANIFICACION DEL TRANSPORT ; TECNOLOGIA DE LOS SISTEMAS DE TRANSPORTE  ; SISTEMAS DE TRANSITO URBANO  ; PLANIFICACION URBANA ; TRANSPORTE "
81180462;2018;ASISTENCIA A EVENTOS;"QUIMICA ANALITICA ; ANALISIS ELECTROQUIMICO"
81180468;2018;ASISTENCIA A EVENTOS;"TEORIA, ANALISIS Y CRITICA DE LAS BELLAS ARTES ; ESTETICA DE LAS BELLAS ARTES"
81180470;2018;ASISTENCIA A EVENTOS;"QUIMICA MACROMOLECULAR  ; SINTESIS DE MACROMOLECULAS"
81180471;2018;ASISTENCIA A EVENTOS;"MECANICA CELESTE Y ASTROMETRICOS ; ASTROMETRIA ; LA GALAXIA ; BULTO ; LA GALAXIA ; CUMULOS GLOBULARES  GENERAL"
81180472;2018;ASISTENCIA A EVENTOS;"SISTEMAS DE ORGANIZACION INFORMATICA ; COMUNICACION / REDES Y TECNOLOGIAS DE LA INFORMACION ; TECNOLOGIA DE LAS TELECOMUNICACIONES ; REDES DE COMPUTADORES ; TECNOLOGIA DE LAS TELECOMUNICACIONES ; REDES POR FIBRA OPTICA"
81180473;2018;ASISTENCIA A EVENTOS;"QUIMICA FISICA  ; QUIMICA FISICA "
81180474;2018;ASISTENCIA A EVENTOS;"QUIMICA ANALITICA ; ANALISIS CROMATOGRAFICO ; TECNOLOGIA DE LOS ALIMENTOS  ; PROPIEDADES DE LOS ALIMENTOS"
81180475;2018;ASISTENCIA A EVENTOS;"BIOLOGIA CELULAR ; CULTIVO CELULAR ; BIOLOGIA CELULAR ; CULTIVO DE TEJIDOS ; CIENCIAS DE LA NUTRICION  ; METABOLISMO ENERGETICO"
81180480;2018;ASISTENCIA A EVENTOS;"FISIOLOGIA HUMANA  ; FISIOLOGIA CARDIOVASCULAR"
81180481;2018;ASISTENCIA A EVENTOS;"BIOLOGIA CELULAR ; MORFOLOGIA CELULAR ; NEUROCIENCIAS ; NEUROQUIMICA"
81180482;2018;ASISTENCIA A EVENTOS;"BIOLOGIA MOLECULAR  ; BIOLOGIA MOLECULAR DE PLANTAS ; CIENCIA FORESTAL  ; CONSERVACION"
81180484;2018;ASISTENCIA A EVENTOS;"BIOLOGIA CELULAR ; CULTIVO CELULAR ; BIOLOGIA CELULAR ; MORFOLOGIA CELULAR"
81180485;2018;ASISTENCIA A EVENTOS;"BIOQUIMICA  ; BIOQUIMICA FISICA ; BIOQUIMICA  ; PROTEINAS  ; BIOQUIMICA  ; BIOQUIMICA "
81180499;2018;ASISTENCIA A EVENTOS;"GENETICA  ; GENETICA MOLECULAR DE PLANTAS ; BIOLOGIA MOLECULAR  ; EXPRESION GENETICA ; BIOLOGIA VEGETAL (BOTANICA)  ; NUTRICION VEGETAL"
81180500;2018;ASISTENCIA A EVENTOS;"BIOQUIMICA  ; BIOQUIMICA "
81190008;2019;ASISTENCIA A EVENTOS;"INMUNOLOGIA  ; HIPERSENSIBILIDAD"
81190010;2019;ASISTENCIA A EVENTOS;"MICROBIOLOGIA  ; BACTERIOLOGIA ; BIOLOGIA MOLECULAR  ; BIOLOGIA MOLECULAR DE MICROORGANISMOS"
81190013;2019;ASISTENCIA A EVENTOS;"BIOLOGIA MOLECULAR  ; BIOLOGIA MOLECULAR DE MICROORGANISMOS"
81190014;2019;ASISTENCIA A EVENTOS;"CIENCIAS DEL SUELO (EDAFOLOGIA)  ; BIOQUIMICA DE SUELOS ; CIENCIAS DEL SUELO (EDAFOLOGIA)  ; BIOLOGIA DE SUELOS ; CIENCIAS AMBIENTALES ; CAMBIO CLIMATICO"
